time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1687809264,593909.41,3.000000E+05,593909.41,59390.94,3.000000E+04,59390.94
1687809264,807287.66,7.000000E+05,699570.55,80728.77,7.000000E+04,69957.06
1687809265,1187005.21,1.300000E+06,863163.58,118700.52,1.300000E+05,86316.36
1687809265,1007998.93,1.800000E+06,899047.05,100799.89,1.800000E+05,89904.70
1687809266,1000337.68,2.300000E+06,919282.54,100033.77,2.300000E+05,91928.25
1687809266,1186930.50,2.900000E+06,964269.90,118693.05,2.900000E+05,96426.99
1687809267,982426.79,3.400000E+06,966897.83,98242.68,3.400000E+05,96689.78
1687809267,1200698.80,4.000000E+06,995988.78,120069.88,4.000000E+05,99598.88
1687809268,816015.85,4.400000E+06,976411.66,81601.59,4.400000E+05,97641.17
1687809268,1008630.10,4.900000E+06,979604.65,100863.01,4.900000E+05,97960.46
1687809269,999103.15,5.400000E+06,981378.03,99910.31,5.400000E+05,98137.80
1687809269,965585.27,5.900000E+06,980019.66,96558.53,5.900000E+05,98001.97
1687809270,1248417.86,6.500000E+06,999862.21,124841.79,6.500000E+05,99986.22
1687809270,996164.10,7.000000E+06,999597.15,99616.41,7.000000E+05,99959.72
1687809271,971890.03,7.500000E+06,997700.96,97189.00,7.500000E+05,99770.10
1687809271,1214554.56,8.100000E+06,1011073.02,121455.46,8.100000E+05,101107.30
1687809272,604478.11,8.400000E+06,987354.03,60447.81,8.400000E+05,98735.40
1687809272,1194447.30,9.000000E+06,998899.98,119444.73,9.000000E+05,99890.00
1687809273,995250.98,9.500000E+06,998707.26,99525.10,9.500000E+05,99870.73
1687809273,994075.10,1.000000E+07,998474.63,99407.51,1.000000E+06,99847.46
1687809274,996863.15,1.050000E+07,998397.77,99686.32,1.050000E+06,99839.78
1687809274,1236341.59,1.110000E+07,1008893.42,123634.16,1.110000E+06,100889.34
1687809275,997401.07,1.160000E+07,1008392.61,99740.11,1.160000E+06,100839.26
1687809275,792303.61,1.200000E+07,999307.73,79230.36,1.200000E+06,99930.77
1687809276,1004077.45,1.250000E+07,999497.65,100407.74,1.250000E+06,99949.76
1687809276,1210172.59,1.310000E+07,1007531.13,121017.26,1.310000E+06,100753.11
1687809277,969922.09,1.360000E+07,1006096.88,96992.21,1.360000E+06,100609.69
1687809277,1219977.29,1.420000E+07,1013605.34,121997.73,1.420000E+06,101360.53
1687809278,1011769.01,1.470000E+07,1013542.77,101176.90,1.470000E+06,101354.28
1687809278,993286.06,1.520000E+07,1012863.30,99328.61,1.520000E+06,101286.33
