time period,count period,rate period
1006225681,2020000,2007501.9333560418
1000154102,2400000,2399630.212185042
1000154247,2180000,2179663.7933988594
1001454850,2250000,2246731.3429057733
1000206581,2160000,2159553.877200494
1002494520,2320000,2314227.114179138
1001724173,2320000,2316006.8036014144
1001398225,2510000,2506495.355531512
1004765468,2060000,2050229.6959911047
1000290659,1860000,1859459.5313520767
1003635454,1830000,1823371.2178127177
1000251095,2110000,2109470.3225493594
1001827390,2300000,2295804.669504993
1000153788,2350000,2349638.653770714
1003826506,1600000,1593900.9285335608
1002126724,1500000,1496816.6840344635
1001486705,2310000,2306570.8096444476
1000153933,2280000,2279649.086777125
1004684300,2100000,2090208.8347553553
1000154347,1780000,1779725.3047383896
1007020545,1480000,1469682.031164518
1000151186,1370000,1369792.9064896393
1000684511,2130000,2128542.988910118
1005205811,1640000,1631506.6845549704
1000518061,1900000,1899016.1937716384
1002527313,2550000,2543571.5984328496
1000160032,2580000,2579587.18350385
1002210729,2100000,2095367.709838197
1001893976,1850000,1846502.7680733353
1000154946,1960000,1959696.352888905
1004749203,1900000,1891019.1661032848
1000162959,2330000,2329620.36739455
1001404620,2450000,2446563.507965442
1035066796,1580000,1526471.5341134372
1000480282,2030000,2029025.4955769333
1003021229,2530000,2522379.3144661346
1002093839,2420000,2414943.4971229276
1001909353,2050000,2046093.2856467704
1000157280,2030000,2029680.7718082098
1001576720,2190000,2186552.4190698043
1000154450,2280000,2279647.908380551
1000156300,2480000,2479612.436576163
1007608790,2050000,2034519.7663470167
1004897607,1900000,1890739.8990353055
1001311942,2380000,2376881.6691092653
1000264890,2370000,2369372.3769510696
1000158342,1920000,1919696.0314909818
1004620321,2030000,2020663.8842217885
1001909865,2180000,2175844.430876025
1000530934,2020000,2018928.0824374792
1000165941,2350000,2349610.1033498403
1003348283,1630000,1624560.5116563498
1001125536,1960000,1957796.4296377713
1000549344,2300000,2298737.202510224
1000153736,2440000,2439624.9418199444
1000669251,2240000,2238501.8803780554
1002158788,2150000,2145368.6040021037
1003821835,2060000,2052156.9945726471
1000154721,2100000,2099675.136163258
1003671497,2020000,2012610.7058313722
1002367119,2210000,2204781.020954459
1004963080,1820000,1811011.8035380961
1003224080,1560000,1554986.5988065198
1002041462,2550000,2544804.877545077
1002803022,2410000,2403263.5992594766
1000157823,2020000,2019681.2478464213
1002560711,2000000,1994891.6589850285
1007759725,1930000,1915139.0476534471
1003532011,1800000,1793664.7563502588
1001545073,1940000,1937007.182501511
1002233918,2270000,2264940.309074633
1000552226,2450000,2448647.79302385
1002042523,2390000,2385128.3205473307
1002630620,2510000,2503414.4678326305
1002282134,2070000,2065286.7389133763
1003318515,2010000,2003351.8468459642
1002339870,1870000,1865634.6574341098
1000661115,1940000,1938718.2842615005
1000151310,1930000,1929708.0158801174
1000633094,2210000,2208601.7474852777
1006845674,1710000,1698373.4887656674
1000153835,1940000,1939701.6060034402
1001665472,2400000,2396009.5132439584
1002361440,2430000,2424275.219525603
1001329811,1830000,1827569.6777392759
1001503546,2010000,2006982.4096259368
1000154894,1900000,1899705.7469780275
1000212808,2110000,2109551.070655756
1000156228,2170000,2169661.0381953246
1001876615,2270000,2265748.063198381
1002470082,1350000,1346673.6057665208
1003079481,2050000,2043706.4448335574
1000157421,2270000,2269642.710574859
1000304971,1890000,1889423.7805402249
1003922341,1420000,1414452.0367835902
1000665228,1470000,1469022.7649241353
1000156423,1730000,1729729.4305332878
1000910013,2120000,2118072.5264659734
1003618872,2340000,2331562.3742077257
1002083118,2040000,2035759.2732143002
1001671484,2260000,2256228.749744462
1000503463,2340000,2338822.4894130128
1001051072,2280000,2277606.0720306584
1003732417,1910000,1902897.5926758377
1004245669,1380000,1374165.7470867322
1004995509,1400000,1393041.050892895
1001433030,1330000,1328096.7974463555
1000152031,1710000,1709740.0665079486
1001103981,2360000,2357397.477974868
1002733572,2410000,2403430.050908877
