time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1687701548,199333.73,1.000000E+05,199333.73,19933.37,1.000000E+04,19933.37
1687701548,399669.31,3.000000E+05,299375.82,39966.93,3.000000E+04,29937.58
1687701549,601235.89,6.000000E+05,399718.29,60123.59,6.000000E+04,39971.83
1687701549,399860.44,8.000000E+05,399753.82,39986.04,8.000000E+04,39975.38
1687701550,399385.43,1.000000E+06,399680.09,39938.54,1.000000E+05,39968.01
1687701550,601100.01,1.300000E+06,433176.52,60110.00,1.300000E+05,43317.65
1687701551,399318.50,1.500000E+06,428334.09,39931.85,1.500000E+05,42833.41
1687701551,600305.90,1.800000E+06,449810.56,60030.59,1.800000E+05,44981.06
1687701552,399801.87,2.000000E+06,444253.68,39980.19,2.000000E+05,44425.37
1687701552,600578.61,2.300000E+06,459866.58,60057.86,2.300000E+05,45986.66
1687701553,399981.11,2.500000E+06,454423.65,39998.11,2.500000E+05,45442.36
1687701553,400225.43,2.700000E+06,449910.57,40022.54,2.700000E+05,44991.06
1687701554,599430.83,3.000000E+06,461420.10,59943.08,3.000000E+05,46142.01
1687701554,399835.10,3.200000E+06,457020.53,39983.51,3.200000E+05,45702.05
1687701555,400559.71,3.400000E+06,453262.32,40055.97,3.400000E+05,45326.23
1687701555,599817.65,3.700000E+06,462423.30,59981.76,3.700000E+05,46242.33
1687701556,599780.51,4.000000E+06,470504.65,59978.05,4.000000E+05,47050.47
1687701556,399805.95,4.200000E+06,466575.81,39980.60,4.200000E+05,46657.58
1687701557,400250.26,4.400000E+06,463087.70,40025.03,4.400000E+05,46308.77
1687701557,599397.20,4.700000E+06,469908.71,59939.72,4.700000E+05,46990.87
1687701558,600828.93,5.000000E+06,476133.66,60082.89,5.000000E+05,47613.37
1687701558,399757.28,5.200000E+06,472660.39,39975.73,5.200000E+05,47266.04
1687701559,400215.95,5.400000E+06,469512.68,40021.59,5.400000E+05,46951.27
1687701559,599886.89,5.700000E+06,474945.34,59988.69,5.700000E+05,47494.53
1687701560,399965.12,5.900000E+06,471946.21,39996.51,5.900000E+05,47194.62
1687701560,599827.54,6.200000E+06,476865.54,59982.75,6.200000E+05,47686.55
1687701561,199899.68,6.300000E+06,466603.78,19989.97,6.300000E+05,46660.38
1687701561,600372.67,6.600000E+06,471377.76,60037.27,6.600000E+05,47137.78
1687701562,400168.01,6.800000E+06,468923.51,40016.80,6.800000E+05,46892.35
1687701562,399431.24,7.000000E+06,466604.11,39943.12,7.000000E+05,46660.41
1687701563,600837.48,7.300000E+06,470927.82,60083.75,7.300000E+05,47092.78
1687701563,400051.05,7.500000E+06,468713.37,40005.10,7.500000E+05,46871.34
1687701564,599858.65,7.800000E+06,472688.08,59985.86,7.800000E+05,47268.81
1687701564,400266.67,8.000000E+06,470559.59,40026.67,8.000000E+05,47055.96
1687701565,399309.03,8.200000E+06,468520.55,39930.90,8.200000E+05,46852.06
