time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1688030911,179976.33,9.000000E+04,179976.33,17997.63,9.000000E+03,17997.63
1688030911,239707.11,2.100000E+05,209857.99,23970.71,2.100000E+04,20985.80
1688030912,240227.64,3.300000E+05,219970.25,24022.76,3.300000E+04,21997.02
1688030912,239827.52,4.500000E+05,224936.74,23982.75,4.500000E+04,22493.67
1688030913,240049.84,5.700000E+05,227958.18,24004.98,5.700000E+04,22795.82
1688030913,239795.32,6.900000E+05,229932.14,23979.53,6.900000E+04,22993.21
1688030914,260257.19,8.200000E+05,234259.52,26025.72,8.200000E+04,23425.95
1688030914,219797.91,9.300000E+05,232450.54,21979.79,9.300000E+04,23245.05
1688030915,259871.40,1.060000E+06,235498.07,25987.14,1.060000E+05,23549.81
1688030915,260325.18,1.190000E+06,237977.44,26032.52,1.190000E+05,23797.74
1688030916,279998.99,1.330000E+06,241797.27,27999.90,1.330000E+05,24179.73
1688030916,259960.79,1.460000E+06,243310.98,25996.08,1.460000E+05,24331.10
1688030917,260094.69,1.590000E+06,244601.49,26009.47,1.590000E+05,24460.15
1688030917,239724.10,1.710000E+06,244252.76,23972.41,1.710000E+05,24425.28
1688030918,260055.92,1.840000E+06,245305.96,26005.59,1.840000E+05,24530.60
1688030918,240008.18,1.960000E+06,244974.89,24000.82,1.960000E+05,24497.49
1688030919,240329.16,2.080000E+06,244701.99,24032.92,2.080000E+05,24470.20
1688030919,259777.19,2.210000E+06,245540.17,25977.72,2.210000E+05,24554.02
1688030920,240206.83,2.330000E+06,245259.71,24020.68,2.330000E+05,24525.97
1688030920,259724.74,2.460000E+06,245983.68,25972.47,2.460000E+05,24598.37
1688030921,219893.84,2.570000E+06,244740.81,21989.38,2.570000E+05,24474.08
1688030921,260362.12,2.700000E+06,245449.87,26036.21,2.700000E+05,24544.99
1688030922,259543.52,2.830000E+06,246063.66,25954.35,2.830000E+05,24606.37
1688030922,240158.53,2.950000E+06,245817.79,24015.85,2.950000E+05,24581.78
1688030923,280314.92,3.090000E+06,247196.10,28031.49,3.090000E+05,24719.61
1688030923,259554.96,3.220000E+06,247672.22,25955.50,3.220000E+05,24767.22
1688030924,260377.45,3.350000E+06,248142.09,26037.75,3.350000E+05,24814.21
1688030924,239858.61,3.470000E+06,247846.09,23985.86,3.470000E+05,24784.61
1688030925,260263.33,3.600000E+06,248273.84,26026.33,3.600000E+05,24827.38
1688030925,239763.98,3.720000E+06,247989.91,23976.40,3.720000E+05,24798.99
1688030926,239739.66,3.840000E+06,247723.50,23973.97,3.840000E+05,24772.35
1688030926,240008.97,3.960000E+06,247482.45,24000.90,3.960000E+05,24748.24
1688030927,260119.49,4.090000E+06,247865.19,26011.95,4.090000E+05,24786.52
1688030927,239880.88,4.210000E+06,247630.26,23988.09,4.210000E+05,24763.03
1688030928,240520.54,4.330000E+06,247427.56,24052.05,4.330000E+05,24742.76
1688030928,259490.43,4.460000E+06,247763.28,25949.04,4.460000E+05,24776.33
1688030929,240240.40,4.580000E+06,247560.17,24024.04,4.580000E+05,24756.02
1688030929,239990.96,4.700000E+06,247360.98,23999.10,4.700000E+05,24736.10
1688030930,259840.06,4.830000E+06,247681.14,25984.01,4.830000E+05,24768.11
1688030930,260048.18,4.960000E+06,247990.24,26004.82,4.960000E+05,24799.02
1688030931,260231.84,5.090000E+06,248288.55,26023.18,5.090000E+05,24828.85
1688030931,260080.55,5.220000E+06,248569.22,26008.06,5.220000E+05,24856.92
1688030932,239693.10,5.340000E+06,248362.54,23969.31,5.340000E+05,24836.25
1688030932,280062.88,5.480000E+06,249082.82,28006.29,5.480000E+05,24908.28
1688030933,239847.00,5.600000E+06,248877.46,23984.70,5.600000E+05,24887.75
1688030933,280187.20,5.740000E+06,249557.63,28018.72,5.740000E+05,24955.76
1688030934,239942.84,5.860000E+06,249353.02,23994.28,5.860000E+05,24935.30
1688030934,280252.48,6.000000E+06,249996.17,28025.25,6.000000E+05,24999.62
1688030935,259948.66,6.130000E+06,250199.32,25994.87,6.130000E+05,25019.93
1688030935,299934.10,6.280000E+06,251194.21,29993.41,6.280000E+05,25119.42
1688030936,239760.06,6.400000E+06,250969.79,23976.01,6.400000E+05,25096.98
1688030936,280161.98,6.540000E+06,251530.84,28016.20,6.540000E+05,25153.08
1688030937,260303.65,6.670000E+06,251696.17,26030.37,6.670000E+05,25169.62
1688030937,239593.13,6.790000E+06,251471.67,23959.31,6.790000E+05,25147.17
1688030938,260324.97,6.920000E+06,251632.43,26032.50,6.920000E+05,25163.24
1688030938,258474.40,7.050000E+06,251755.32,25847.44,7.050000E+05,25175.53
1688030939,261494.81,7.180000E+06,251925.21,26149.48,7.180000E+05,25192.52
1688030939,260209.63,7.310000E+06,252067.93,26020.96,7.310000E+05,25206.79
1688030940,239644.51,7.430000E+06,251857.05,23964.45,7.430000E+05,25185.71
1688030940,260253.72,7.560000E+06,251996.86,26025.37,7.560000E+05,25199.69
1688030941,239767.47,7.680000E+06,251796.19,23976.75,7.680000E+05,25179.62
1688030941,260111.36,7.810000E+06,251930.24,26011.14,7.810000E+05,25193.02
1688030942,239922.84,7.930000E+06,251739.59,23992.28,7.930000E+05,25173.96
1688030942,260055.14,8.060000E+06,251869.49,26005.51,8.060000E+05,25186.95
1688030943,240003.18,8.180000E+06,251686.94,24000.32,8.180000E+05,25168.69
1688030943,240259.37,8.300000E+06,251513.98,24025.94,8.300000E+05,25151.40
1688030944,259913.39,8.430000E+06,251639.39,25991.34,8.430000E+05,25163.94
1688030944,199733.72,8.530000E+06,250875.08,19973.37,8.530000E+05,25087.51
1688030945,280389.00,8.670000E+06,251302.22,28038.90,8.670000E+05,25130.22
1688030945,259650.82,8.800000E+06,251421.64,25965.08,8.800000E+05,25142.16
1688030946,239957.45,8.920000E+06,251260.15,23995.75,8.920000E+05,25126.01
1688030946,260167.06,9.050000E+06,251383.77,26016.71,9.050000E+05,25138.38
1688030947,279931.85,9.190000E+06,251774.93,27993.19,9.190000E+05,25177.49
1688030947,240143.37,9.310000E+06,251617.84,24014.34,9.310000E+05,25161.78
1688030948,260213.18,9.440000E+06,251732.35,26021.32,9.440000E+05,25173.24
1688030948,259572.94,9.570000E+06,251835.68,25957.29,9.570000E+05,25183.57
1688030949,260290.55,9.700000E+06,251945.36,26029.06,9.700000E+05,25194.54
1688030949,259880.46,9.830000E+06,252047.14,25988.05,9.830000E+05,25204.71
1688030950,259933.87,9.960000E+06,252147.00,25993.39,9.960000E+05,25214.70
1688030950,260202.47,1.009000E+07,252247.61,26020.25,1.009000E+06,25224.76
1688030951,279829.39,1.023000E+07,252588.33,27982.94,1.023000E+06,25258.83
1688030951,259841.42,1.036000E+07,252676.83,25984.14,1.036000E+06,25267.68
1688030952,220140.27,1.047000E+07,252285.08,22014.03,1.047000E+06,25228.51
1688030952,260055.17,1.060000E+07,252377.56,26005.52,1.060000E+06,25237.76
1688030953,259956.86,1.073000E+07,252466.74,25995.69,1.073000E+06,25246.67
1688030953,260000.53,1.086000E+07,252554.34,26000.05,1.086000E+06,25255.43
