time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1688031525,219628.09,1.100000E+05,219628.09,21962.81,1.100000E+04,21962.81
1688031526,339589.16,2.800000E+05,279594.14,33958.92,2.800000E+04,27959.41
1688031526,320538.63,4.400000E+05,293213.82,32053.86,4.400000E+04,29321.38
1688031527,339906.81,6.100000E+05,304885.90,33990.68,6.100000E+04,30488.59
1688031527,340124.37,7.800000E+05,311929.42,34012.44,7.800000E+04,31192.94
1688031528,300106.60,9.300000E+05,309959.91,30010.66,9.300000E+04,30995.99
1688031528,357030.69,1.110000E+06,316731.43,35703.07,1.110000E+05,31673.14
1688031529,281809.00,1.250000E+06,312395.60,28180.90,1.250000E+05,31239.56
1688031529,318776.71,1.410000E+06,313106.82,31877.67,1.410000E+05,31310.68
1688031530,321734.14,1.570000E+06,313964.80,32173.41,1.570000E+05,31396.48
1688031530,319894.10,1.730000E+06,314503.94,31989.41,1.730000E+05,31450.39
1688031531,339767.40,1.900000E+06,316610.29,33976.74,1.900000E+05,31661.03
1688031531,260140.09,2.030000E+06,312269.30,26014.01,2.030000E+05,31226.93
1688031532,340189.42,2.200000E+06,314262.34,34018.94,2.200000E+05,31426.23
1688031532,279629.28,2.340000E+06,311950.77,27962.93,2.340000E+05,31195.08
1688031533,280468.86,2.480000E+06,309986.53,28046.89,2.480000E+05,30998.65
1688031533,319520.69,2.640000E+06,310548.13,31952.07,2.640000E+05,31054.81
1688031534,300194.92,2.790000E+06,309973.38,30019.49,2.790000E+05,30997.34
1688031534,320129.77,2.950000E+06,310507.67,32012.98,2.950000E+05,31050.77
1688031535,320103.40,3.110000E+06,310987.29,32010.34,3.110000E+05,31098.73
1688031535,200129.09,3.210000E+06,305711.77,20012.91,3.210000E+05,30571.18
1688031536,319640.63,3.370000E+06,306345.58,31964.06,3.370000E+05,30634.56
1688031536,340142.30,3.540000E+06,307814.33,34014.23,3.540000E+05,30781.43
1688031537,338447.24,3.710000E+06,309096.26,33844.72,3.710000E+05,30909.63
1688031537,341153.28,3.880000E+06,310374.10,34115.33,3.880000E+05,31037.41
1688031538,340467.52,4.050000E+06,311529.92,34046.75,4.050000E+05,31152.99
1688031538,319740.77,4.210000E+06,311834.26,31974.08,4.210000E+05,31183.43
1688031539,278136.79,4.350000E+06,310623.07,27813.68,4.350000E+05,31062.31
1688031539,302129.51,4.500000E+06,310332.26,30212.95,4.500000E+05,31033.23
1688031540,338100.49,4.670000E+06,311262.86,33810.05,4.670000E+05,31126.29
1688031540,281665.68,4.810000E+06,310313.79,28166.57,4.810000E+05,31031.38
1688031541,360231.20,4.990000E+06,311872.69,36023.12,4.990000E+05,31187.27
1688031541,299917.03,5.140000E+06,311510.30,29991.70,5.140000E+05,31151.03
1688031542,239715.92,5.260000E+06,309396.31,23971.59,5.260000E+05,30939.63
1688031542,340204.12,5.430000E+06,310275.98,34020.41,5.430000E+05,31027.60
1688031543,278529.86,5.570000E+06,309389.64,27852.99,5.570000E+05,30938.96
1688031543,321376.90,5.730000E+06,309712.22,32137.69,5.730000E+05,30971.22
1688031544,280505.10,5.870000E+06,308945.00,28050.51,5.870000E+05,30894.50
1688031544,316902.79,6.030000E+06,309150.98,31690.28,6.030000E+05,30915.10
1688031545,302781.69,6.180000E+06,308993.22,30278.17,6.180000E+05,30899.32
1688031545,159951.70,6.260000E+06,305357.07,15995.17,6.260000E+05,30535.71
1688031546,320273.17,6.420000E+06,305711.91,32027.32,6.420000E+05,30571.19
1688031546,319733.38,6.580000E+06,306038.25,31973.34,6.580000E+05,30603.82
1688031547,300286.24,6.730000E+06,305907.65,30028.62,6.730000E+05,30590.76
1688031547,319444.62,6.890000E+06,306208.98,31944.46,6.890000E+05,30620.90
1688031548,340087.45,7.060000E+06,306945.25,34008.75,7.060000E+05,30694.53
1688031548,280399.83,7.200000E+06,306381.26,28039.98,7.200000E+05,30638.13
1688031549,359215.63,7.380000E+06,307484.33,35921.56,7.380000E+05,30748.43
1688031549,280273.54,7.520000E+06,306929.56,28027.35,7.520000E+05,30692.96
1688031550,360108.78,7.700000E+06,307992.80,36010.88,7.700000E+05,30799.28
1688031550,300027.82,7.850000E+06,307836.64,30002.78,7.850000E+05,30783.66
1688031551,379607.44,8.040000E+06,309218.22,37960.74,8.040000E+05,30921.82
1688031551,296968.48,8.190000E+06,308984.79,29696.85,8.190000E+05,30898.48
1688031552,343507.86,8.360000E+06,309617.55,34350.79,8.360000E+05,30961.76
1688031552,320227.88,8.520000E+06,309810.33,32022.79,8.520000E+05,30981.03
1688031553,240174.71,8.640000E+06,308567.75,24017.47,8.640000E+05,30856.78
1688031553,339725.78,8.810000E+06,309114.81,33972.58,8.810000E+05,30911.48
1688031554,240309.72,8.930000E+06,307930.05,24030.97,8.930000E+05,30793.00
1688031554,339719.91,9.100000E+06,308469.30,33971.99,9.100000E+05,30846.93
1688031555,257850.77,9.230000E+06,307618.75,25785.08,9.230000E+05,30761.88
1688031555,201645.49,9.330000E+06,305895.70,20164.55,9.330000E+05,30589.57
1688031556,336898.51,9.500000E+06,306400.26,33689.85,9.500000E+05,30640.03
1688031556,323340.30,9.660000E+06,306666.37,32334.03,9.660000E+05,30666.64
1688031557,259426.86,9.790000E+06,305926.65,25942.69,9.790000E+05,30592.67
1688031557,378592.33,9.980000E+06,307048.64,37859.23,9.980000E+05,30704.86
