time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1687715662,599345.53,3.000000E+05,599345.53,59934.55,3.000000E+04,59934.55
1687715662,399993.13,5.000000E+05,499722.87,39999.31,5.000000E+04,49972.29
1687715663,600505.04,8.000000E+05,533285.67,60050.50,8.000000E+04,53328.57
1687715663,599720.24,1.100000E+06,549899.01,59972.02,1.100000E+05,54989.90
1687715664,999651.03,1.600000E+06,639861.32,99965.10,1.600000E+05,63986.13
1687715664,1598589.93,2.400000E+06,799737.98,159858.99,2.400000E+05,79973.80
1687715665,1800974.33,3.300000E+06,942665.27,180097.43,3.300000E+05,94266.53
1687715665,2201481.32,4.400000E+06,1099896.62,220148.13,4.400000E+05,109989.66
1687715666,1997785.35,5.400000E+06,1199751.99,199778.54,5.400000E+05,119975.20
1687715666,2403725.72,6.600000E+06,1319959.02,240372.57,6.600000E+05,131995.90
1687715667,1800056.50,7.500000E+06,1363601.77,180005.65,7.500000E+05,136360.18
1687715667,1996978.69,8.500000E+06,1416455.14,199697.87,8.500000E+05,141645.51
1687715668,2401368.29,9.700000E+06,1492167.40,240136.83,9.700000E+05,149216.74
1687715668,2198453.93,1.080000E+07,1542644.98,219845.39,1.080000E+06,154264.50
1687715669,2403035.36,1.200000E+07,1599929.35,240303.54,1.200000E+06,159992.94
1687715669,2201189.11,1.310000E+07,1637487.50,220118.91,1.310000E+06,163748.75
1687715670,2397520.79,1.430000E+07,1682238.53,239752.08,1.430000E+06,168223.85
1687715670,2202085.08,1.540000E+07,1711091.21,220208.51,1.540000E+06,171109.12
1687715671,2395273.34,1.660000E+07,1747167.71,239527.33,1.660000E+06,174716.77
1687715671,2402137.97,1.780000E+07,1779884.96,240213.80,1.780000E+06,177988.50
1687715672,2399837.44,1.900000E+07,1809406.60,239983.74,1.900000E+06,180940.66
1687715672,2199819.19,2.010000E+07,1827152.92,219981.92,2.010000E+06,182715.29
1687715673,2198919.39,2.120000E+07,1843323.26,219891.94,2.120000E+06,184332.33
1687715673,2202085.41,2.230000E+07,1858256.91,220208.54,2.230000E+06,185825.69
1687715674,2399372.19,2.350000E+07,1879906.11,239937.22,2.350000E+06,187990.61
1687715674,2200534.79,2.460000E+07,1892234.51,220053.48,2.460000E+06,189223.45
1687715675,2198799.96,2.570000E+07,1903594.33,219880.00,2.570000E+06,190359.43
1687715675,2002239.43,2.670000E+07,1907113.37,200223.94,2.670000E+06,190711.34
1687715676,2196850.74,2.780000E+07,1917117.99,219685.07,2.780000E+06,191711.80
1687715676,2399516.71,2.900000E+07,1933200.08,239951.67,2.900000E+06,193320.01
1687715677,2204397.65,3.010000E+07,1941930.92,220439.76,3.010000E+06,194193.09
1687715677,2396903.32,3.130000E+07,1956166.57,239690.33,3.130000E+06,195616.66
1687715678,2000654.35,3.230000E+07,1957514.20,200065.44,3.230000E+06,195751.42
1687715678,2398005.07,3.350000E+07,1970479.88,239800.51,3.350000E+06,197047.99
1687715679,2604446.43,3.480000E+07,1988562.20,260444.64,3.480000E+06,198856.22
