time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1688036529,799556.37,4.000000E+05,799556.37,79955.64,4.000000E+04,79955.64
1688036530,599691.96,7.000000E+05,699626.22,59969.20,7.000000E+04,69962.62
1688036530,792737.81,1.100000E+06,730841.31,79273.78,1.100000E+05,73084.13
1688036531,1008162.00,1.600000E+06,799573.53,100816.20,1.600000E+05,79957.35
1688036531,1803012.93,2.500000E+06,999907.52,180301.29,2.500000E+05,99990.75
1688036532,1398929.63,3.200000E+06,1066448.48,139892.96,3.200000E+05,106644.85
1688036532,1400060.32,3.900000E+06,1114097.20,140006.03,3.900000E+05,111409.72
1688036533,2200260.26,5.000000E+06,1249833.43,220026.03,5.000000E+05,124983.34
1688036533,2166445.72,6.100000E+06,1353066.76,216644.57,6.100000E+05,135306.68
1688036534,2029527.58,7.100000E+06,1419715.29,202952.76,7.100000E+05,141971.53
1688036534,1799317.26,8.000000E+06,1454230.18,179931.73,8.000000E+05,145423.02
1688036535,1402760.35,8.700000E+06,1449949.61,140276.04,8.700000E+05,144994.96
1688036535,2199912.81,9.800000E+06,1507639.35,219991.28,9.800000E+05,150763.93
1688036536,1999017.57,1.080000E+07,1542752.67,199901.76,1.080000E+06,154275.27
1688036536,2192042.38,1.190000E+07,1586182.53,219204.24,1.190000E+06,158618.25
1688036537,2208177.62,1.300000E+07,1624911.14,220817.76,1.300000E+06,162491.11
1688036537,2199011.69,1.410000E+07,1658694.30,219901.17,1.410000E+06,165869.43
1688036538,2001207.04,1.510000E+07,1677710.55,200120.70,1.510000E+06,167771.06
1688036538,2190599.16,1.620000E+07,1704813.38,219059.92,1.620000E+06,170481.34
1688036539,2209938.90,1.730000E+07,1729955.42,220993.89,1.730000E+06,172995.54
1688036539,1998858.54,1.830000E+07,1742766.98,199885.85,1.830000E+06,174276.70
1688036540,2186241.24,1.940000E+07,1763044.96,218624.12,1.940000E+06,176304.50
