time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1688037388,0.00,0.000000E+00,0.00,-,-,-
1688037389,399354.51,2.000000E+05,199807.72,39935.45,2.000000E+04,19980.77
1688037389,399972.74,4.000000E+05,266489.64,39997.27,4.000000E+04,26648.96
1688037390,400187.30,6.000000E+05,299885.68,40018.73,6.000000E+04,29988.57
1688037390,391375.18,8.000000E+05,318499.10,39137.52,8.000000E+04,31849.91
1688037391,204648.38,9.000000E+05,299957.60,20464.84,9.000000E+04,29995.76
1688037391,399932.82,1.100000E+06,314240.10,39993.28,1.100000E+05,31424.01
1688037392,400053.65,1.300000E+06,324964.18,40005.36,1.300000E+05,32496.42
1688037392,399450.62,1.500000E+06,333249.75,39945.06,1.500000E+05,33324.98
1688037393,391440.89,1.700000E+06,339181.80,39144.09,1.700000E+05,33918.18
1688037393,204636.18,1.800000E+06,327229.08,20463.62,1.800000E+05,32722.91
1688037394,400264.87,2.000000E+06,333310.96,40026.49,2.000000E+05,33331.10
1688037394,399599.69,2.200000E+06,338414.49,39959.97,2.200000E+05,33841.45
1688037395,399864.34,2.400000E+06,342804.58,39986.43,2.400000E+05,34280.46
1688037395,386913.89,2.600000E+06,345837.39,38691.39,2.600000E+05,34583.74
1688037396,412893.09,2.800000E+06,349896.30,41289.31,2.800000E+05,34989.63
1688037396,200721.79,2.900000E+06,341153.47,20072.18,2.900000E+05,34115.35
1688037397,400397.86,3.100000E+06,344441.53,40039.79,3.100000E+05,34444.15
1688037397,399619.46,3.300000E+06,347348.23,39961.95,3.300000E+05,34734.82
1688037398,400346.98,3.500000E+06,349995.84,40034.70,3.500000E+05,34999.58
1688037398,399606.67,3.700000E+06,352360.44,39960.67,3.700000E+05,35236.04
1688037399,200042.94,3.800000E+06,345438.72,20004.29,3.800000E+05,34543.87
1688037399,399577.87,4.000000E+06,347794.88,39957.79,4.000000E+05,34779.49
1688037400,400317.36,4.200000E+06,349981.46,40031.74,4.200000E+05,34998.15
1688037400,397949.06,4.400000E+06,351909.56,39794.91,4.400000E+05,35190.96
1688037401,402219.92,4.600000E+06,353833.83,40221.99,4.600000E+05,35383.38
1688037401,390665.95,4.800000E+06,355229.29,39066.60,4.800000E+05,35522.93
1688037402,204881.25,4.900000E+06,349987.83,20488.13,4.900000E+05,34998.78
1688037402,400301.56,5.100000E+06,351721.46,40030.16,5.100000E+05,35172.15
